date,cases
2012-01-02,74
2012-01-09,66
2012-01-16,61
2012-01-23,52
2012-01-30,85
2012-02-06,87
2012-02-13,65
2012-02-20,51
2012-02-27,55
2012-03-05,46
2012-03-12,64
2012-03-19,73
2012-03-26,48
2012-04-02,52
2012-04-09,82
2012-04-16,77
2012-04-23,64
2012-04-30,88
2012-05-07,97
2012-05-14,80
2012-05-21,80
2012-05-28,81
2012-06-04,100
2012-06-11,88
2012-06-18,129
2012-06-25,151
2012-07-02,140
2012-07-09,132
2012-07-16,125
2012-07-23,110
2012-07-30,94
2012-08-06,127
2012-08-13,115
2012-08-20,92
2012-08-27,102
2012-09-03,76
2012-09-10,74
2012-09-17,72
2012-09-24,100
2012-10-01,104
2012-10-08,123
2012-10-15,105
2012-10-22,84
2012-10-29,104
2012-11-05,100
2012-11-12,88
2012-11-19,100
2012-11-26,80
2012-12-03,78
2012-12-10,105
2012-12-17,94
2012-12-24,112
2013-01-07,134
2013-01-14,205
2013-01-21,219
2013-01-28,267
2013-02-04,293
2013-02-11,322
2013-02-18,247
2013-02-25,296
2013-03-04,249
2013-03-11,273
2013-03-18,308
2013-03-25,307
2013-04-01,316
2013-04-08,406
2013-04-15,492
2013-04-22,509
2013-04-29,538
2013-05-06,547
2013-05-13,558
2013-05-20,611
2013-05-27,640
2013-06-03,746
2013-06-10,814
2013-06-17,809
2013-06-24,842
2013-07-01,806
2013-07-08,678
2013-07-15,541
2013-07-22,390
2013-07-29,306
2013-08-05,289
2013-08-12,256
2013-08-19,378
2013-08-26,341
2013-09-02,386
2013-09-09,452
2013-09-16,339
2013-09-23,376
2013-09-30,406
2013-10-07,441
2013-10-14,438
2013-10-21,374
2013-10-28,495
2013-11-04,458
2013-11-11,402
2013-11-18,444
2013-11-25,365
2013-12-02,372
2013-12-09,347
2013-12-16,381
2013-12-23,371
2013-12-30,414
2014-01-06,437
2014-01-13,479
2014-01-20,401
2014-01-27,336
2014-02-03,234
2014-02-10,274
2014-02-17,369
2014-02-24,194
2014-03-03,187
2014-03-10,210
2014-03-17,225
2014-03-24,210
2014-03-31,225
2014-04-07,240
2014-04-14,245
2014-04-21,235
2014-04-28,282
2014-05-05,251
2014-05-12,261
2014-05-19,291
2014-05-26,428
2014-06-02,456
2014-06-09,459
2014-06-16,506
2014-06-23,551
2014-06-30,671
2014-07-07,891
2014-07-14,819
2014-07-21,746
2014-07-28,634
2014-08-04,484
2014-08-11,545
2014-08-18,438
2014-08-25,418
2014-09-01,367
2014-09-08,339
2014-09-15,362
2014-09-22,397
2014-09-29,345
2014-10-06,339
2014-10-13,278
2014-10-20,297
2014-10-27,213
2014-11-03,186
2014-11-10,169
2014-11-17,158
2014-11-24,149
2014-12-01,162
2014-12-08,212
2014-12-15,177
2014-12-22,198
2014-12-29,188
2015-01-05,158
2015-01-05,257
2015-01-12,228
2015-01-19,237
2015-01-26,259
2015-02-02,212
2015-02-09,173
2015-02-16,100
2015-02-23,172
2015-03-02,190
2015-03-09,110
2015-03-16,91
2015-03-23,130
2015-03-30,91
2015-04-06,107
2015-04-13,137
2015-04-20,113
2015-04-27,120
2015-05-04,135
2015-05-11,158
2015-05-18,109
2015-05-25,180
2015-06-01,152
2015-06-08,193
2015-06-15,207
2015-06-22,240
2015-06-29,242
2015-07-06,272
2015-07-13,263
2015-07-20,293
2015-07-27,250
2015-08-03,226
2015-08-10,221
2015-08-17,250
2015-08-24,225
2015-08-31,246
2015-09-07,217
2015-09-14,303
2015-09-21,214
2015-09-28,257
2015-10-05,235
2015-10-12,235
2015-10-19,224
2015-10-26,246
2015-11-02,266
2015-11-09,198
2015-11-16,254
2015-11-23,286
2015-11-30,259
2015-12-07,357
2015-12-14,333
2015-12-21,372
2015-12-28,458
2016-01-04,549
2016-01-11,628
2016-01-18,636
2016-01-25,630
2016-02-01,530
2016-02-08,420
2016-02-15,593
2016-02-22,512
2016-02-29,412
2016-03-07,397
2016-03-14,374
2016-03-21,308
2016-03-28,377
2016-04-04,292
2016-04-11,225
2016-04-18,231
2016-04-25,244
2016-05-02,181
2016-05-09,217
2016-05-16,212
2016-05-23,198
2016-05-30,220
2016-06-06,160
2016-06-13,193
2016-06-20,215
2016-06-27,234
2016-07-04,247
2016-07-11,223
2016-07-18,266
2016-07-25,222
2016-08-01,211
2016-08-08,198
2016-08-15,222
2016-08-22,274
2016-08-29,311
2016-09-05,242
2016-09-12,174
2016-09-19,173
2016-09-26,138
2016-10-03,125
2016-10-10,94
2016-10-17,108
2016-10-24,84
2016-10-31,86
2016-11-07,84
2016-11-14,72
2016-11-21,75
2016-11-28,86
2016-12-05,59
2016-12-12,81
2016-12-19,72
2016-12-26,64
2017-01-02,70
2017-01-09,91
2017-01-16,75
2017-01-23,66
2017-01-30,62
2017-02-06,77
2017-02-13,53
2017-02-20,54
2017-02-27,41
2017-03-06,32
2017-03-13,35
2017-03-20,32
2017-03-27,50
2017-04-03,37
2017-04-10,32
2017-04-17,51
2017-04-24,37
2017-05-01,42
2017-05-08,48
2017-05-15,50
2017-05-22,50
2017-05-29,66
2017-06-05,62
2017-06-12,80
2017-06-19,73
2017-06-26,75
2017-07-03,63
2017-07-10,53
2017-07-17,51
2017-07-24,67
2017-07-31,60
2017-08-07,56
2017-08-14,53
2017-08-21,52
2017-08-28,33
2017-09-04,40
2017-09-11,53
2017-09-18,59
2017-09-25,39
2017-10-02,52
2017-10-09,55
2017-10-16,63
2017-10-23,77
2017-10-30,62
2017-11-06,44
2017-11-13,50
2017-11-20,24
2017-11-27,38
2017-12-04,34
2017-12-11,40
2017-12-18,51
2017-12-25,66
2018-01-01,83
2018-01-08,68
2018-01-15,54
2018-01-22,45
2018-01-29,48
2018-02-05,50
2018-02-12,28
2018-02-19,39
2018-02-26,51
2018-03-05,37
2018-03-12,39
2018-03-19,36
2018-03-26,24
2018-04-02,38
2018-04-09,38
2018-04-16,56
2018-04-23,56
2018-04-30,77
2018-05-07,62
2018-05-14,64
2018-05-21,65
2018-05-28,54
2018-06-04,75
2018-06-11,55
2018-06-18,61
2018-06-25,76
2018-07-02,58
2018-07-09,44
2018-07-16,41
2018-07-23,56
2018-07-30,51
2018-08-06,59
2018-08-13,43
2018-08-20,68
2018-08-27,75
2018-09-03,76
2018-09-10,49
2018-09-17,63
2018-09-24,40
2018-10-01,51
2018-10-08,51
2018-10-15,62
2018-10-22,78
2018-10-29,75
2018-11-05,71
2018-11-12,78
2018-11-19,97
2018-11-26,109
2018-12-03,115
2018-12-10,108
2018-12-17,128
2018-12-24,160
2019-01-07,207
2019-01-14,245
2019-01-21,215
2019-01-28,222
2019-02-04,182
2019-02-11,138
2019-02-18,235
2019-02-25,182
2019-03-04,157
2019-03-11,134
2019-03-18,109
2019-03-25,97
2019-04-01,100
