file,use_entropy,N_train,horizon,date_forecast,y_obs,median_pred,crps,log_score,in_50,in_80,in_95,width_95,bias,crps_baseline_rt1,crps_baseline_rw,skill_vs_rt1,skill_vs_rw
forecast_entropy0_origin549.rds,0,549,4,2022-08-01,896,1136,154.26866024999998,-6.930472650001307,1,1,1,1697.174999999999,240,152.46031198094897,5.884933365882262,-0.011861108281589816,-25.214172813641063
forecast_entropy0_origin549.rds,0,549,8,2022-08-29,581,1149,383.809631,-7.508253628020697,0,1,1,3199.599999999997,568,315.58147725680885,190.2388505627423,-0.21619822030197788,-1.0175144554577535
forecast_entropy0_origin549.rds,0,549,13,2022-10-03,397,1230.5,584.624073,-7.843930774308237,0,0,1,5477.274999999992,833.5,158.2828490524504,80.6539746847244,-2.693540244567321,-6.2485463399081045
forecast_entropy0_origin553.rds,0,553,4,2022-08-29,581,905,208.75732149999996,-7.032374963906819,0,1,1,1457.0749999999996,324,315.58147725680885,185.20640232369408,0.33849944770326057,-0.12716039446166016
forecast_entropy0_origin553.rds,0,553,8,2022-09-26,426,937,348.18876625,-7.439486650335671,0,0,1,2699.0749999999944,511,156.31288147125338,71.63671150551238,-1.227511661052921,-3.8604794794803947
forecast_entropy0_origin553.rds,0,553,13,2022-10-31,318,1017,485.8333499999999,-7.700760005937716,0,0,1,4437.474999999998,699,71.56284144803982,14.915134649165509,-5.788905249839089,-31.573178950629313
forecast_entropy0_origin557.rds,0,557,4,2022-09-26,426,491,52.81629200000002,-6.046362972825639,1,1,1,726.3249999999985,65,156.31288147125338,48.651378913227575,0.6621117114413045,-0.08560729787743115
forecast_entropy0_origin557.rds,0,557,8,2022-10-24,314,512,131.02694024999997,-6.51810880722337,0,1,1,1454.2499999999934,198,101.57729983390368,44.69886303892588,-0.2899234421888699,-1.9313260190957324
forecast_entropy0_origin557.rds,0,557,13,2022-11-28,242,531,199.37638125,-6.768485865198207,0,1,1,2346.6249999999964,289,65.09241359988795,42.998908824847746,-2.0629741658610614,-3.63677769271174
forecast_entropy0_origin561.rds,0,561,4,2022-10-24,314,409,60.94147249999999,-5.942211714444293,0,1,1,620,95,101.57729983390368,9.977995056627321,0.400048311978663,-5.1075869605209965
forecast_entropy0_origin561.rds,0,561,8,2022-11-21,265,430,107.30982800000001,-6.362860272809555,0,1,1,1196.0749999999998,165,55.6557103119809,30.419352826651732,-0.9281009513393925,-2.527682808096468
forecast_entropy0_origin561.rds,0,561,13,2022-12-26,285,459,128.50696074999996,-6.586784320370934,1,1,1,1988.8499999999954,174,0.5196213804005652,76.12370243168812,-246.3088398536193,-0.6881333493378037
forecast_entropy1_origin549.rds,1,549,4,2022-08-01,896,1157.5,170.42501149999995,-7.011059599918566,0,1,1,1775.1249999999995,261.5,152.46031198094897,5.884933365882262,-0.11783197401101875,-27.959548206277788
forecast_entropy1_origin549.rds,1,549,8,2022-08-29,581,1201.5,422.58101099999993,-7.6008530251309265,0,1,1,3275.2999999999984,620.5,315.58147725680885,190.2388505627423,-0.33905517736111834,-1.2213181468978092
forecast_entropy1_origin549.rds,1,549,13,2022-10-03,397,1301,641.1991947500001,-7.944466214434002,0,0,1,5941.924999999994,904,158.2828490524504,80.6539746847244,-3.0509707690283303,-6.950001190349781
forecast_entropy1_origin553.rds,1,553,4,2022-08-29,581,923,224.94856625,-7.130437089672186,0,0,1,1472.0999999999995,342,315.58147725680885,185.20640232369408,0.28719337964520353,-0.21458309986955326
forecast_entropy1_origin553.rds,1,553,8,2022-09-26,426,981.5,383.4165845,-7.548558938894413,0,0,1,2914.6499999999983,555.5,156.31288147125338,71.63671150551238,-1.452879000701628,-4.35223597569099
forecast_entropy1_origin553.rds,1,553,13,2022-10-31,318,1078,536.6384804999999,-7.771860844226413,0,0,1,4933.449999999998,760,71.56284144803982,14.915134649165509,-6.498842550706167,-34.979459329254155
forecast_entropy1_origin557.rds,1,557,4,2022-09-26,426,502,56.553957249999996,-6.032643255687552,1,1,1,763.0749999999997,76,156.31288147125338,48.651378913227575,0.6382002767929237,-0.16243277196453376
forecast_entropy1_origin557.rds,1,557,8,2022-10-24,314,526,137.64949249999995,-6.594983273316725,0,1,1,1498.1749999999993,212,101.57729983390368,44.69886303892588,-0.3551206098713049,-2.0794853189023685
forecast_entropy1_origin557.rds,1,557,13,2022-11-28,242,548,206.46781350000003,-6.783788059923067,0,1,1,2264.0749999999944,306,65.09241359988795,42.998908824847746,-2.171918232578112,-3.80169890684967
forecast_entropy1_origin561.rds,1,561,4,2022-10-24,314,413,61.60182025,-5.951679968893411,0,1,1,627.0999999999995,99,101.57729983390368,9.977995056627321,0.3935473737662888,-5.1737673651265705
forecast_entropy1_origin561.rds,1,561,8,2022-11-21,265,432,106.17218799999998,-6.366676710456271,0,1,1,1215.199999999999,167,55.6557103119809,30.419352826651732,-0.9076602814849799,-2.4902842478285026
forecast_entropy1_origin561.rds,1,561,13,2022-12-26,285,455.5,125.83444075000006,-6.554611245854324,1,1,1,1998.3999999999978,170.5,0.5196213804005652,76.12370243168812,-241.1656334714267,-0.6530257558468253
