date,observed,pred_median,pred_lower,pred_upper,pred_lower80,pred_upper80
2012-03-12,64,63,38,100,46,86
2012-03-19,73,56,34,87,41,75
2012-03-26,48,55,33,85,39,73
2012-04-02,52,65.5,40,100,48,88
2012-04-09,82,79,49,119,59,103
2012-04-16,77,70,44,106,52,92
2012-04-23,64,66,41,100.02500000000009,49,87
2012-04-30,88,80,51,123,60,106
2012-05-07,97,85,53,126,63,110
2012-05-14,80,76,47,115,57,101
2012-05-21,80,84,53,125,62,109
2012-05-28,81,99,64,149,75,129
2012-06-04,100,101,64.97500000000001,152,76,132
2012-06-11,88,101,64,151,76,130
2012-06-18,129,108,69,159,81,139
2012-06-25,151,121,77.97500000000001,179.0250000000001,92,156
2012-07-02,140,121,78,177,91,156
2012-07-09,132,131,84.97500000000001,194,99,170
2012-07-16,125,144,93,212,109,185
2012-07-23,110,133,86.97500000000001,200,101,176
2012-07-30,94,120,77,178,90,156
2012-08-06,127,107,69,159,81,139
2012-08-13,115,94,59,141,70,123
2012-08-20,92,83,52,124,62,108
2012-08-27,102,94,59,139,70,121
2012-09-03,76,98,61,148,73,129
2012-09-10,74,92,58,137,68,121
2012-09-17,72,93,61,140,70,121
2012-09-24,100,90,55,134,67,118
2012-10-01,104,86,54,128,64,111
2012-10-08,123,86,54,129,64,113
2012-10-15,105,102,64,151,76,133
2012-10-22,84,114,72,171,85,148
2012-10-29,104,116,73,170.0250000000001,88,151
2012-11-05,100,103,66,157,78,135
2012-11-12,88,86,54,128,64,113
2012-11-19,100,81,50,120.02500000000009,60,106
2012-11-26,80,86,54,130.0250000000001,64,114
2012-12-03,78,87,54,131,64,113
2012-12-10,105,94,59,144,70,124
2012-12-17,94,97,62,143,73,125
2012-12-24,112,101,66,149,77,131
2012-12-24,112,128,83,188,97,167
2013-01-07,134,152,99,221,116,196
2013-01-14,205,175,112,255,134,225
2013-01-21,219,194,130,282.0250000000001,149,247
2013-01-28,267,227,150,328,174,288
2013-02-04,293,281,187,406.0250000000001,219,358
2013-02-11,322,306,205,439,236,391
2013-02-18,247,301,201,430.0250000000001,232,385.0999999999999
2013-02-25,296,292,195,423,224,374
2013-03-04,249,288,190,412.0250000000001,220,366.0999999999999
2013-03-11,273,261,174,384,202,338
2013-03-18,308,268,176,382,206,341
2013-03-25,307,292,194.975,420,223,371.0999999999999
2013-04-01,316,341,226,490,262,436
2013-04-08,406,419,282,597,326,528
2013-04-15,492,460,308,657,356,583
2013-04-22,509,473,320.975,677,369.90000000000003,599
2013-04-29,538,512,343.975,730,395,652
2013-05-06,547,555,378,797.0250000000001,432,704
2013-05-13,558,565,381,817.0250000000001,436.90000000000003,724.0999999999999
2013-05-20,611,590,402.975,845,460,751.0999999999999
2013-05-27,640,629,427,914,490,803
2013-06-03,746,716,480,1006.0500000000002,555,901.0999999999999
2013-06-10,814,787,531.975,1131.025,615,1000.0999999999999
2013-06-17,809,848,574.975,1210.1000000000004,662,1078
2013-06-24,842,857,585,1213.0500000000002,668,1085
2013-07-01,806,772,522.95,1111.025,600.9000000000001,979
2013-07-08,678,606,409,857.0250000000001,472,760.0999999999999
2013-07-15,541,491,327,705.0250000000001,378,621
2013-07-22,390,424,285,613.0250000000001,331,543.0999999999999
2013-07-29,306,377,251.97500000000002,542.0250000000001,294,480
2013-08-05,289,351,234,504,272,446
2013-08-12,256,324,216,465,250,411
2013-08-19,378,307,206,441,236,391
2013-08-26,341,317,214,453.0250000000001,246,401
2013-09-02,386,331,223,475.0250000000001,256,418.0999999999999
2013-09-09,452,394,264.975,559.0250000000001,306,496
2013-09-16,339,404,270,583,313,517
2013-09-23,376,410,274,589,318,523
2013-09-30,406,447,298,640,344,566
2013-10-07,441,402,268,582.0250000000001,310,513
2013-10-14,438,380,258,547,296,486
2013-10-21,374,421,286,606,328.90000000000003,530
2013-10-28,495,459,310,663,355,584
2013-11-04,458,451,300,642.0250000000001,351,568
2013-11-11,402,409,270,597.0250000000001,317,521
2013-11-18,444,414,275.975,599,322,530
2013-11-25,365,404,270,576,312,515
2013-12-02,372,369,248,532,285,470
2013-12-09,347,373,247,541,288,476
2013-12-16,381,367,247,524.0250000000001,283,468
2013-12-23,371,375,257,543,295,480.0999999999999
2013-12-30,414,405,269,579.0250000000001,312,515
2014-01-06,437,411,277,591.0250000000001,318,524
2014-01-13,479,407,274,587,317,517
2014-01-20,401,394,262.975,562,303,503
2014-01-27,336,372,250,530.0250000000001,287,472
2014-02-03,234,348,236.97500000000002,503,272,445
2014-02-10,274,301,200,436,231,384
2014-02-17,369,248,164.97500000000002,355,192.90000000000003,316
2014-02-24,194,202,132,292.0250000000001,154,259.0999999999999
2014-03-03,187,207,136,300,159,264
2014-03-10,210,257,170,375,199,332
2014-03-17,225,236,159.97500000000002,340,182,303
2014-03-24,210,202,134,290,155,257
2014-03-31,225,209,136,301,160,266.0999999999999
2014-04-07,240,228,149.97500000000002,330,175,289
2014-04-14,245,232,152,334,179,299
2014-04-21,235,236,156,337.0250000000001,181,297
2014-04-28,282,256,173,369.0250000000001,196.90000000000003,326
2014-05-05,251,277,185.97500000000002,401.0250000000001,215.90000000000003,355.0999999999999
2014-05-12,261,290,195,423,223,371
2014-05-19,291,335,223,474,259,424
2014-05-26,428,350,237,498,270,442
2014-06-02,456,364.5,249,529,283,463
2014-06-09,459,428,288,613.0250000000001,332,544
2014-06-16,506,571,382,818,438,721
2014-06-23,551,674.5,455.975,974,525,857
2014-06-30,671,704,475,1005,550,890.0999999999999
2014-07-07,891,693,469,981.0500000000002,540,874
2014-07-14,819,685,464.975,978,531,865
2014-07-21,746,701,470.975,1005.0500000000002,545,889
2014-07-28,634,741,497,1056.025,576.9000000000001,935
2014-08-04,484,654,440.975,932,511.90000000000003,829
2014-08-11,545,519,354.975,740.0250000000001,410,659
2014-08-18,438,425,285,615,331,542
2014-08-25,418,367,247.97500000000002,530.0250000000001,285,462
2014-09-01,367,375,252,540.0250000000001,293,478
2014-09-08,339,389,261,563,300.90000000000003,496
2014-09-15,362,383,261.975,550,297,486
2014-09-22,397,378,250.975,539,293,476
2014-09-29,345,339,224,485,261,430
2014-10-06,339,316,210,465.0250000000001,244,403.0999999999999
2014-10-13,278,299,200,430,230,377
2014-10-20,297,262,174,381,201,335
2014-10-27,213,225,150,323,174,287.0999999999999
2014-11-03,186,195,128,284,150,250
2014-11-10,169,191,127,281,147,245
2014-11-17,158,176,114,256,133,226
2014-11-24,149,161,106,232.0250000000001,124,206.0999999999999
2014-12-01,162,160,107,232,123,205
2014-12-08,212,164,108,237,125,211
2014-12-15,177,166,108,240,127,213
2014-12-22,198,182,119,266,140,234
2014-12-29,188,220,145.97500000000002,318,167.90000000000003,280
2015-01-05,158,222,145,318,169,282
2015-01-05,257,225,151,330.0250000000001,173,289
2015-01-12,228,219,146,315.0250000000001,170,277
2015-01-19,237,196,129,280,149.90000000000003,250
2015-01-26,259,221,145,317,168,279.0999999999999
2015-02-02,212,219,145,315,168,279
2015-02-09,173,198,131,287,151,252.0999999999999
2015-02-16,100,190,126,279,144,245.0999999999999
2015-02-23,172,165,109,243,127,213
2015-03-02,190,135,88,194,103,173
2015-03-09,110,100,63.97500000000001,147,74,129
2015-03-16,91,110,71,163,83,142
2015-03-23,130,135,86,196.0250000000001,102,173
2015-03-30,91,119,78,177.0250000000001,90,154.0999999999999
2015-04-06,107,101,65,150.0250000000001,76,133
2015-04-13,137,114,73,166,86,146
2015-04-20,113,114,72,168,85,148
2015-04-27,120,120,77,174,90,155
2015-05-04,135,137,90,202,105,177
2015-05-11,158,137,90.97500000000001,201,104,176
2015-05-18,109,138,90,203,105,178
2015-05-25,180,154,101,225,117,199.0999999999999
2015-06-01,152,174,111.97500000000001,251,133,222.0999999999999
2015-06-08,193,168,110.97500000000001,243,128,217
2015-06-15,207,203,137,291,156.90000000000003,259
2015-06-22,240,223.5,147,326,172,288
2015-06-29,242,244,162,353,188,311
2015-07-06,272,269,176.97500000000002,392,206,341
2015-07-13,263,268,181,388,208,343
2015-07-20,293,253,168,361.0250000000001,195,321
2015-07-27,250,250,167,361,193,318
2015-08-03,226,240,159,346.0250000000001,184,306
2015-08-10,221,243,162,355,188,311.0999999999999
2015-08-17,250,237,159,342,181,303
2015-08-24,225,228,150,333,176,294
2015-08-31,246,235,155,342.0250000000001,180,300
2015-09-07,217,246,163,356,190,314
2015-09-14,303,245,160.97500000000002,356,187,313
2015-09-21,214,240,158,352,183,309
2015-09-28,257,230,154,331,177,296
2015-10-05,235,255,169,363,196,323
2015-10-12,235,239,160,346,184,306
2015-10-19,224,234,156,340.0250000000001,180,298
2015-10-26,246,238,160,344,183,303
2015-11-02,266,234,157,337.0250000000001,180,300
2015-11-09,198,229,152,331,176,291
2015-11-16,254,243,161,351.0250000000001,186,310
2015-11-23,286,273,181,396.0250000000001,213,348.0999999999999
2015-11-30,259,267,179,393.0250000000001,204,342
2015-12-07,357,302,200,435,232,384
2015-12-14,333,374,250,538,292,475
2015-12-21,372,423,286,603.0250000000001,330,536
2016-01-04,549,505,347,706,396,635
2016-01-11,628,537,361,767,415,679
2016-01-18,636,530,357.97499999999997,752.0750000000003,413.90000000000003,673.0999999999999
2016-01-25,630,601,411.975,848,467,759.0999999999999
2016-02-01,530,617.5,421.97499999999997,896.0250000000001,483.90000000000003,786
2016-02-08,420,581.5,393.975,825,454,739
2016-02-15,593,529,359,756.0250000000001,414.90000000000003,672
2016-02-22,512,453,297,655,348,576.0999999999999
2016-02-29,412,388,256.975,561.0250000000001,298,495
2016-03-07,397,418,285.97499999999997,599,328,530
2016-03-14,374,419,279,601,326,533
2016-03-21,308,356,238.975,515.0250000000001,277,452
2016-03-28,377,308,206,446.0250000000001,237,392
2016-04-04,292,277,182,398.0250000000001,212,354
2016-04-11,225,248,165,362,192,317
2016-04-18,231,256,170,368,197,325
2016-04-25,244,241,160,353,186,310
2016-05-02,181,207,135,298,158,266
2016-05-09,217,196,128,285,149,250
2016-05-16,212,200,133,289,153,253
2016-05-23,198,188,125,275,144,243
2016-05-30,220,190,126,277,147,243
2016-06-06,160,206,136,298,158,264
2016-06-13,193,214,140.97500000000002,312,164,274
2016-06-20,215,222,148,325,171,283.0999999999999
2016-06-27,234,209,139,298,161,266.0999999999999
2016-07-04,247,207,137,298,159,266
2016-07-11,223,227,150.975,326,175,289
2016-07-18,266,236,156.97500000000002,339,182,301
2016-07-25,222,234,152.97500000000002,340,178,301
2016-08-01,211,226,152,328,174,292.0999999999999
2016-08-08,198,249,165,358,190,318
2016-08-15,222,253,167,367,195,327
2016-08-22,274,235,155,340,180,300
2016-08-29,311,220,146,317,169,280
2016-09-05,242,212.5,142,309,164,272
2016-09-12,174,219,145,318,169,280
2016-09-19,173,213,139,305,161,270
2016-09-26,138,168,109,244,127,217
2016-10-03,125,120,78,176,91,155
2016-10-10,94,100,63.97500000000001,149,75,130
2016-10-17,108,91,57,134,68,119
2016-10-24,84,87,55,128,65,112
2016-10-31,86,85,52,128,62,112
2016-11-07,84,85,53,126,63,111
2016-11-14,72,83,53,125,62,110
2016-11-21,75,80,50,120,60,106
2016-11-28,86,75,46,111.02500000000009,55,98
2016-12-05,59,69,43,103,51,90
2016-12-12,81,68,42,103,50,90
2016-12-19,72,74.5,45,112,55,98
2017-01-02,70,71,45,108,52,94
2017-01-09,91,77,48,118,57,102
2017-01-16,75,78,49,120,58,105
2017-01-23,66,75,47,113,55,99
2017-01-30,62,74,46,114,55,98
2017-02-06,77,64,38.97500000000001,100,47,85
2017-02-13,53,51,31,78.02500000000009,37,68
2017-02-20,54,45,26,70,32,61
2017-02-27,41,46,27,72,33,62
2017-03-06,32,44,25,68,31.900000000000034,59
2017-03-13,35,42,24,66,30,57
2017-03-20,32,39,22,61,27,53
2017-03-27,50,35,19,55,24,48
2017-04-03,37,34,19,55,24,47
2017-04-10,32,35,20,57,25,48
2017-04-17,51,43,25,67,31,58
2017-04-24,37,43,25,69,31,58
2017-05-01,42,39,23,62,28,53
2017-05-08,48,48,28,75,35,64
2017-05-15,50,50,29,77,36,66.09999999999991
2017-05-22,50,53,31.97500000000001,81,39,71
2017-05-29,66,59,36,90,43,78
2017-06-05,62,64,39,98,47,85
2017-06-12,80,64,39,98,47,84
2017-06-19,73,69,43,105,51,92
2017-06-26,75,69,42,104,51,91
2017-07-03,63,69,42,105,51,91
2017-07-10,53,67,41,101.02500000000009,49,89
2017-07-17,51,63,38,96,46,83.09999999999991
2017-07-24,67,57,34,88,41,77
2017-07-31,60,50,30,78,36,68
2017-08-07,56,48,29,74,35,64
2017-08-14,53,54,32,83,39,72
2017-08-21,52,54,33,84,39,72
2017-08-28,33,50,29,77,36,67.09999999999991
2017-09-04,40,49,29,74,35,64
2017-09-11,53,46,26,72,32,62
2017-09-18,59,39,22,61,27,53
2017-09-25,39,41,23,64,29,55
2017-10-02,52,56,34,85,40,74
2017-10-09,55,69,42,103,50,91
2017-10-16,63,62,39,94,46,82
2017-10-23,77,58,35,87,42,77
2017-10-30,62,55,33,84.02500000000009,40,73
2017-11-06,44,49,29,78,35,66
2017-11-13,50,46,27,71,33,61
2017-11-20,24,42,24,67,30,57
2017-11-27,38,36,21,58,25,50
2017-12-04,34,39,22,62,28,53
2017-12-11,40,38,22,61,27,52
2017-12-18,51,47,28,73,34,63
2017-12-25,66,57,34,87,41,76
2017-12-25,66,63,39,94,46,83
2018-01-01,83,67,41,102,49,88
2018-01-08,68,66,41,101,49,87
2018-01-15,54,59,35,90,43,79
2018-01-22,45,55,33,84.02500000000009,40,73
2018-01-29,48,50,30,77,36,67
2018-02-05,50,44,26,69,31,60
2018-02-12,28,39,22,61.02500000000009,28,53
2018-02-19,39,40,23,64,29,55
2018-02-26,51,43,25,68,30,58
2018-03-05,37,34,19,55,24,47
2018-03-12,39,32,18,51,22,44
2018-03-19,36,38,22,61,27,52
2018-03-26,24,38,22,60,27,52
2018-04-02,38,39,23,62,28,53
2018-04-09,38,43,25,66,30,58
2018-04-16,56,42,25,65,30,56
2018-04-23,56,51,30,78.02500000000009,37,68
2018-04-30,77,58,35,90,42,77
2018-05-07,62,66,40,100,48,87
2018-05-14,64,70,42,105,51,92
2018-05-21,65,70,44,107,52,93
2018-05-28,54,64,39,99,47,85
2018-06-04,75,59,35,89,43,78
2018-06-11,55,61,37,93,45,81
2018-06-18,61,59,36,90,43,78
2018-06-25,76,64,39,97,47,84
2018-07-02,58,56,33.97500000000001,86,41,75
2018-07-09,44,52,32,82,38,70
2018-07-16,41,57,34,87,41,76
2018-07-23,56,54,32,83,39.900000000000034,73
2018-07-30,51,45,26,71.02500000000009,32,61
2018-08-06,59,45,26,69,32,60
2018-08-13,43,57,34,88,41,77
2018-08-20,68,67,41,102,48,88
2018-08-27,75,70,43,105,52,92
2018-09-03,76,58,35,89,42,78
2018-09-10,49,57,35,86,41,76
2018-09-17,63,60,36,91,43,79
2018-09-24,40,57,35,89,42,76.09999999999991
2018-10-01,51,51,30,79,37,68
2018-10-08,51,53,31,83,38,71
2018-10-15,62,55,33.97500000000001,84,40,73
2018-10-22,78,60,37,91,44,81
2018-10-29,75,70,43,106,52,92
2018-11-05,71,85,53,127,62,111
2018-11-12,78,92.5,59,138,70,120
2018-11-19,97,93,57,137.0250000000001,68,120
2018-11-26,109,88,56,131.0250000000001,66,114
2018-12-03,115,93,60,138,70,121
2018-12-10,108,119,76,177,90,155
2018-12-17,128,152,99.97500000000001,224,116,196
2018-12-24,160,179,116,257,137,230
2019-01-07,207,185,120.97500000000001,264,141,236
2019-01-14,245,189,126,275,145,241
2019-01-21,215,198,133,285,152,254
2019-01-28,222,212,141,306.0250000000001,163,270
2019-02-04,182,220,146,318,169,282
2019-02-11,138,206,135,298,158,264
2019-02-18,235,189,123,274.0250000000001,145,244
2019-02-25,182,163,106,239,125,209
2019-03-04,157,133,85,196,101,173
2019-03-11,134,147,95,216,111,188
2019-03-18,109,141,91,209,107,182
2019-03-25,97,117,75.97500000000001,175,88,151
2019-04-01,100,102,64,151,76,133
2019-04-08,108,97,63,144,73,127
2019-04-15,125,103,67,152,78,133
2019-04-22,135,127,81,185,97,164
2019-04-29,157,170,110,246.0250000000001,129,218
2019-05-06,194,222,147,323.0250000000001,171,283
2019-05-13,287,256,172,370,199,327
2019-05-20,309,289,193,414,223,367
2019-05-27,378,313,209,448,244,398
2019-06-03,401,370,251,531.0250000000001,286,472
2019-06-10,400,409,276,584,317,520
2019-06-17,467,447,301.97499999999997,646.0250000000001,349,569.0999999999999
2019-06-24,433,493,336,709.0250000000001,386,628
2019-07-01,497,540,366.975,776.0500000000002,422,685
2019-07-08,593,572,390,822.0250000000001,445,728
2019-07-15,663,579,399.975,824.0250000000001,452,732
2019-07-22,646,570,381.97499999999997,797.0500000000002,442,718
