EF,S_init,reset_at_switch,cross_immunity_years,include_births,include_waning,S_eff_min,S_eff_max,S_eff_range,S_dom_min,S_dom_max,S_dom_range,log_S_eff_range,log_S_dom_range,gp_alpha_median,ratio_to_gp,explains_gp
6,0.5,FALSE,0,FALSE,FALSE,0.4433279360451762,0.5,0.056672063954823826,0.44024545454545383,0.5,0.05975454545454617,0.12029834028279884,0.12727567581137678,0.30407597,0.4185653861808836,FALSE
6,0.5,FALSE,0,TRUE,TRUE,0.4951585411830424,0.5411175271511807,0.045958985968138244,0.48886633326785994,0.5459774390295943,0.05711110576173434,0.08875849932176338,0.11048854942431985,0.30407597,0.3633583720026277,FALSE
6,0.5,TRUE,0,FALSE,FALSE,0.47379951309021023,0.5,0.026200486909789766,0.469391272727273,0.5,0.03060872727272701,0.05382383436749394,0.06317140757846529,0.30407597,0.20774876613388849,FALSE
6,0.5,TRUE,0,TRUE,TRUE,0.4879735322382572,0.5139929549647927,0.026019422726535513,0.4810955168448336,0.5284529771624922,0.047357460317658584,0.05194839190148526,0.09388799709290208,0.30407597,0.30876493493682544,FALSE
6,0.75,FALSE,0,FALSE,FALSE,0.6933279360451754,0.75,0.0566720639548246,0.6902454545454533,0.75,0.059754545454546726,0.07857010708362977,0.08302594097110749,0.30407597,0.2730434140228427,FALSE
6,0.75,FALSE,0,TRUE,TRUE,0.7433434858026718,0.7838967251623216,0.04055323935964972,0.7368019899042973,0.790018592861895,0.05321660295759767,0.0531190498409298,0.06973729477615709,0.30407597,0.22934168318580747,FALSE
6,0.75,TRUE,0,FALSE,FALSE,0.7237995130902098,0.75,0.026200486909790155,0.7193912727272728,0.75,0.030608727272727232,0.035558768114107187,0.04166780666397346,0.30407597,0.13703090929537598,FALSE
6,0.75,TRUE,0,TRUE,TRUE,0.7365609856966613,0.7624538680911237,0.025892882394462413,0.7299299395287296,0.7752856206025337,0.045355681073804055,0.03454996856498127,0.060282947882714655,0.30407597,0.19824962782397657,FALSE
6,0.95,FALSE,0,FALSE,FALSE,0.8933279360451754,0.95,0.0566720639548246,0.8902454545454532,0.95,0.059754545454546726,0.06150824151652054,0.06496476826781528,0.30407597,0.21364650507508134,FALSE
6,0.95,FALSE,0,TRUE,TRUE,0.9415515100974103,0.9781200835712353,0.03656857347382492,0.9347456919952255,0.9852530706255697,0.05050737863034416,0.038103390062702025,0.052624027543021264,0.30407597,0.17306210531210758,FALSE
6,0.95,TRUE,0,FALSE,FALSE,0.9237995130902098,0.95,0.026200486909790155,0.9193912727272727,0.95,0.030608727272727232,0.027966913670952775,0.032750193624186866,0.30407597,0.10770398471206676,FALSE
6,0.95,TRUE,0,TRUE,TRUE,0.935430948463385,0.9612225985921886,0.025791650128803578,0.9289974776758473,0.9727517353545658,0.043754257678718544,0.027198683846674405,0.04602287211657063,0.30407597,0.15135320333458324,FALSE
8,0.5,FALSE,0,FALSE,FALSE,0.4244372480602371,0.5,0.07556275193976292,0.420327272727274,0.5,0.07967272727272601,0.16384392913342727,0.1735744698004471,0.30407597,0.570826000490756,FALSE
